Code3,Name,Code2,NativeName
aar,Afar,aa,"Afaraf"
abk,Abkhaz,ab,"аҧсуа бызшәа, аҧсшәа"
afr,Afrikaans,af,"Afrikaans"
aka,Akan,ak,"Akan"
amh,Amharic,am,"አማርኛ"
ara,Arabic,ar,"العربية"
arg,Aragonese,an,"aragonés"
asm,Assamese,as,"অসমীয়া"
ava,Avaric,av,"авар мацӀ, магӀарул мацӀ"
ave,Avestan,ae,"avesta"
aym,Aymara,ay,"aymar aru"
azb,South Azerbaijani,az,"تورکجه‎"
aze,Azerbaijani,az,"azərbaycan dili"
bak,Bashkir,ba,"башҡорт теле"
bam,Bambara,bm,"bamanankan"
bel,Belarusian,be,"беларуская мова"
ben,Bengali; Bangla,bn,"বাংলা"
bih,Bihari,bh,"भोजपुरी"
bis,Bislama,bi,"Bislama"
bod,"Tibetan Standard, Tibetan, Central",bo,"བོད་ཡིག"
bos,Bosnian,bs,"bosanski jezik"
bre,Breton,br,"brezhoneg"
bul,Bulgarian,bg,"български език"
cat,Catalan; Valencian,ca,"català, valencià"
ces,Czech,cs,"čeština, český jazyk"
cha,Chamorro,ch,"Chamoru"
che,Chechen,ce,"нохчийн мотт"
chu,"Old Church Slavonic, Church Slavonic, Old Bulgarian",cu,"ѩзыкъ словѣньскъ"
chv,Chuvash,cv,"чӑваш чӗлхи"
cor,Cornish,kw,"Kernewek"
cos,Corsican,co,"corsu, lingua corsa"
cre,Cree,cr,"ᓀᐦᐃᔭᐍᐏᐣ"
cym,Welsh,cy,"Cymraeg"
dan,Danish,da,"dansk"
deu,German,de,"Deutsch"
div,Divehi; Dhivehi; Maldivian;,dv,"ދިވެހި"
dzo,Dzongkha,dz,"རྫོང་ཁ"
ell,"Greek, Modern",el,"ελληνικά"
eng,English,en,"English"
epo,Esperanto,eo,"Esperanto"
est,Estonian,et,"eesti, eesti keel"
eus,Basque,eu,"euskara, euskera"
ewe,Ewe,ee,"Eʋegbe"
fao,Faroese,fo,"føroyskt"
fas,Persian (Farsi),fa,"فارسی"
fij,Fijian,fj,"vosa Vakaviti"
fin,Finnish,fi,"suomi, suomen kieli"
fra,French,fr,"français, langue française"
fry,Western Frisian,fy,"Frysk"
ful,Fula; Fulah; Pulaar; Pular,ff,"Fulfulde, Pulaar, Pular"
gla,Scottish Gaelic; Gaelic,gd,"Gàidhlig"
gle,Irish,ga,"Gaeilge"
glg,Galician,gl,"galego"
glv,Manx,gv,"Gaelg, Gailck"
grn,Guaraní,gn,"Avañe'ẽ"
guj,Gujarati,gu,"ગુજરાતી"
hat,Haitian; Haitian Creole,ht,"Kreyòl ayisyen"
hau,Hausa,ha,"Hausa, هَوُسَ"
heb,Hebrew (modern),he,"עברית"
her,Herero,hz,"Otjiherero"
hin,Hindi,hi,"हिन्दी, हिंदी"
hmo,Hiri Motu,ho,"Hiri Motu"
hrv,Croatian,hr,"hrvatski jezik"
hun,Hungarian,hu,"magyar"
hye,Armenian,hy,"Հայերեն"
ibo,Igbo,ig,"Asụsụ Igbo"
ido,Ido,io,"Ido"
iii,Nuosu,ii,"ꆈꌠ꒿ Nuosuhxop"
iku,Inuktitut,iu,"ᐃᓄᒃᑎᑐᑦ"
ile,Interlingue,ie,"Originally called Occidental; then Interlingue after WWII"
ina,Interlingua,ia,"Interlingua"
ind,Indonesian,id,"Bahasa Indonesia"
ipk,Inupiaq,ik,"Iñupiaq, Iñupiatun"
isl,Icelandic,is,"Íslenska"
ita,Italian,it,"italiano"
jav,Javanese,jv,"basa Jawa"
jpn,Japanese,ja,"日本語 (にほんご)"
kal,"Kalaallisut, Greenlandic",kl,"kalaallisut, kalaallit oqaasii"
kan,Kannada,kn,"ಕನ್ನಡ"
kas,Kashmiri,ks,"कश्मीरी, كشميري‎"
kat,Georgian,ka,"ქართული"
kau,Kanuri,kr,"Kanuri"
kaz,Kazakh,kk,"қазақ тілі"
khm,Khmer,km,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ"
kik,"Kikuyu, Gikuyu",ki,"Gĩkũyũ"
kin,Kinyarwanda,rw,"Ikinyarwanda"
kir,Kyrgyz,ky,"Кыргызча, Кыргыз тили"
kom,Komi,kv,"коми кыв"
kon,Kongo,kg,"KiKongo"
kor,Korean,ko,"한국어 (韓國語), 조선어 (朝鮮語)"
kua,"Kwanyama, Kuanyama",kj,"Kuanyama"
kur,Kurdish,ku,"Kurdî, كوردی‎"
lao,Lao,lo,"ພາສາລາວ"
lat,Latin,la,"latine, lingua latina"
lav,Latvian,lv,"latviešu valoda"
lim,"Limburgish, Limburgan, Limburger",li,"Limburgs"
lin,Lingala,ln,"Lingála"
lit,Lithuanian,lt,"lietuvių kalba"
ltz,"Luxembourgish, Letzeburgesch",lb,"Lëtzebuergesch"
lub,Luba-Katanga,lu,"Tshiluba"
lug,Ganda,lg,"Luganda"
mah,Marshallese,mh,"Kajin M̧ajeļ"
mal,Malayalam,ml,"മലയാളം"
mar,Marathi (Marāṭhī),mr,"मराठी"
mkd,Macedonian,mk,"македонски јазик"
mlg,Malagasy,mg,"fiteny malagasy"
mlt,Maltese,mt,"Malti"
mon,Mongolian,mn,"монгол"
mri,Māori,mi,"te reo Māori"
msa,Malay,ms,"bahasa Melayu, بهاس ملايو‎"
mya,Burmese,my,"ဗမာစာ"
nau,Nauru,na,"Ekakairũ Naoero"
nav,"Navajo, Navaho",nv,"Diné bizaad, Dinékʼehǰí"
nbl,South Ndebele,nr,"isiNdebele"
nde,North Ndebele,nd,"isiNdebele"
ndo,Ndonga,ng,"Owambo"
nep,Nepali,ne,"नेपाली"
nld,Dutch,nl,"Nederlands, Vlaams"
nno,Norwegian Nynorsk,nn,"Norsk nynorsk"
nob,Norwegian Bokmål,nb,"Norsk bokmål"
nor,Norwegian,no,"Norsk"
nya,Chichewa; Chewa; Nyanja,ny,"chiCheŵa, chinyanja"
oci,Occitan,oc,"occitan, lenga d'òc"
oji,"Ojibwe, Ojibwa",oj,"ᐊᓂᔑᓈᐯᒧᐎᓐ"
ori,Oriya,or,"ଓଡ଼ିଆ"
orm,Oromo,om,"Afaan Oromoo"
oss,"Ossetian, Ossetic",os,"ирон æвзаг"
pan,"Panjabi, Punjabi",pa,"ਪੰਜਾਬੀ, پنجابی‎"
pli,Pāli,pi,"पाऴि"
pol,Polish,pl,"język polski, polszczyzna"
por,Portuguese,pt,"português"
pus,"Pashto, Pushto",ps,"پښتو"
que,Quechua,qu,"Runa Simi, Kichwa"
roh,Romansh,rm,"rumantsch grischun"
ron,Romanian,ro,"limba română"
run,Kirundi,rn,"Ikirundi"
rus,Russian,ru,"русский язык"
sag,Sango,sg,"yângâ tî sängö"
san,Sanskrit (Saṁskṛta),sa,"संस्कृतम्"
sin,"Sinhala, Sinhalese",si,"සිංහල"
slk,Slovak,sk,"slovenčina, slovenský jazyk"
slv,Slovene,sl,"slovenski jezik, slovenščina"
sme,Northern Sami,se,"Davvisámegiella"
smo,Samoan,sm,"gagana fa'a Samoa"
sna,Shona,sn,"chiShona"
snd,Sindhi,sd,"सिन्धी, سنڌي، سندھی‎"
som,Somali,so,"Soomaaliga, af Soomaali"
sot,Southern Sotho,st,"Sesotho"
spa,Spanish; Castilian,es,"español, castellano"
sqi,Albanian,sq,"gjuha shqipe"
srd,Sardinian,sc,"sardu"
srp,Serbian,sr,"српски језик"
ssw,Swati,ss,"SiSwati"
sun,Sundanese,su,"Basa Sunda"
swa,Swahili,sw,"Kiswahili"
swe,Swedish,sv,"Svenska"
tah,Tahitian,ty,"Reo Tahiti"
tam,Tamil,ta,"தமிழ்"
tat,Tatar,tt,"татар теле, tatar tele"
tel,Telugu,te,"తెలుగు"
tgk,Tajik,tg,"тоҷикӣ, toğikī, تاجیکی‎"
tgl,Tagalog,tl,"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔"
tha,Thai,th,"ไทย"
tir,Tigrinya,ti,"ትግርኛ"
ton,Tonga (Tonga Islands),to,"faka Tonga"
tsn,Tswana,tn,"Setswana"
tso,Tsonga,ts,"Xitsonga"
tuk,Turkmen,tk,"Türkmen, Түркмен"
tur,Turkish,tr,"Türkçe"
twi,Twi,tw,"Twi"
uig,"Uyghur, Uighur",ug,"Uyƣurqə, ئۇيغۇرچە‎"
ukr,Ukrainian,uk,"українська мова"
urd,Urdu,ur,"اردو"
uzb,Uzbek,uz,"O‘zbek, Ўзбек, أۇزبېك‎"
ven,Venda,ve,"Tshivenḓa"
vie,Vietnamese,vi,"Tiếng Việt"
vol,Volapük,vo,"Volapük"
wln,Walloon,wa,"walon"
wol,Wolof,wo,"Wollof"
xho,Xhosa,xh,"isiXhosa"
yid,Yiddish,yi,"ייִדיש"
yor,Yoruba,yo,"Yorùbá"
zha,"Zhuang, Chuang",za,"Saɯ cueŋƅ, Saw cuengh"
zho,Chinese,zh,"中文 (Zhōngwén), 汉语, 漢語"
zul,Zulu,zu,"isiZulu"
